cpu_code,model
cpu_1,DELL_OptiPlex_9020
cpu_2,DELL_OptiPlex_9020
cpu_3,DELL_OptiPlex_9020
cpu_4,DELL_OptiPlex_9020
cpu_5,DELL_OptiPlex_9020
